vanapärsia (peo)
foiniikia (phn)
paali (pi)
poola (pl)
poonpei (pon)
vanaprovansi (pro)
puštu (ps)
portugali (pt)
portugali (Euroopa) (pt_PT)
ketšua (qu)
k’iche’ (quc)
radžastani (raj)
rapanui (rap)
rarotonga (rar)
retoromaani (rm)
rundi (rn)
rumeenia (ro)
moldova (ro_MD)
rombo (rof)
mustlaskeel (rom)
root (root)
vene (ru)
aromuuni (rup)
ruanda (rw)
rwa (rwk)
sanskriti (sa)
sandave (sad)
jakuudi (sah)
samaaria aramea (sam)
samburu (saq)
sasaki (sas)
santali (sat)
ngembay (sba)
sangu (sbp)
sardiinia (sc)
sitsiilia (scn)
šoti (sco)
sindhi (sd)
põhjasaami (se)
seneca (see)
sena (seh)
sölkupi (sel)
koyraboro senni (ses)
sango (sg)
vanaiiri (sga)
serbia-horvaadi (sh)
tachelhiti (shi)
šani (shn)
Tšaadi araabia (shu)
singali (si)
sidamo (sid)
slovaki (sk)
sloveeni (sl)
samoa (sm)
lõunasaami (sma)
lule saami (smj)
inari saami (smn)
koltasaami (sms)
šona (sn)
soninke (snk)
somaali (so)
sogdi (sog)
albaania (sq)
serbia (sr)
sranani (srn)
sereri (srr)
svaasi (ss)
saho (ssy)
lõunasotho (st)
sunda (su)
sukuma (suk)
susu (sus)
sumeri (sux)
rootsi (sv)
suahiili (sw)
komoori (swb)
Kongo suahiili (swc)
klassikaline süüria (syc)
süüria (syr)
tamili (ta)
telugu (te)
temne (tem)
teso (teo)
tereno (ter)
tetumi (tet)
tadžiki (tg)
tai (th)
tigrinja (ti)
tigree (tig)
tivi (tiv)
türkmeeni (tk)
tokelau (tkl)
tagalogi (tl)
klingoni (tlh)
tlingiti (tli)
tamašeki (tmh)
tsvana (tn)
tonga (to)
tšitonga (tog)
uusmelaneesia (tpi)
türgi (tr)
taroko (trv)
tsonga (ts)
tšimši (tsi)
tatari (tt)
tumbuka (tum)
tuvalu (tvl)
tvii (tw)
taswaqi (twq)
tahiti (ty)
tõva (tyv)
Kesk-Maroko tamazighti (tzm)
udmurdi (udm)
uiguuri (ug)
ugariti (uga)
ukraina (uk)
umbundu (umb)
määramata (und)
urdu (ur)
usbeki (uz)
vai (vai)
venda (ve)
vietnami (vi)
volapüki (vo)
vadja (vot)
vunjo (vun)
vallooni (wa)
walseri (wae)
volamo (wal)
varai (war)
vašo (was)
