ar,Arabek
cy,Kembrek
da,Danek
de,Almaynek
en,Sowsnek
es,Spaynek
eu,Baskek
fr,Frenkek
ga,Wordhonek
it,Italek
ja,Japanek
kw,kernewek
nl,Iseldiryek
pt,Portyngalek
pt_BR,Portyngalek Brasil
ru,Russek
yue,Kantonek
zh,Chinek
zh_Hans,Chinek sempel
zh_Hant,Chînek Tradycyonal
