si,Singaleski
sid,Sidamo
sk,Slovački
sl,Slovenački
sm,Samoanski
sma,Južni sami
smj,Lule sami
smn,Inari sami
sms,Skoltski jezik
sn,Šona
snk,Soninke
so,Somalski
sog,Sodžijenski
sq,Albanski
sr,Srpski
srn,Srananski tongo
srr,Serer
ss,Svati
st,Sesoto
su,Sudanski
suk,Sukuma
sus,Susu
sux,Sumerski
sv,Švedski
sw,Svahili
swb,Komorski
syc,Klasični sirijski
syr,Sirijski
ta,Tamilski
te,Telugu
tem,Timne
ter,Tereno
tet,Tetum
tg,Tađik
th,Tajlandski
ti,Tigrinja
tig,Tigre
tiv,Tiv
tk,Turkmenski
tkl,Tokelau
tl,Tagalski
tlh,Klingonski
tli,Tlingit
tmh,Tamašek
tn,Tsvana
to,Tonga
tog,Njasa tonga
tpi,Tok Pisin
tr,Turski
ts,Tsonga
tsi,Tsimšian
tt,Tatarski
tum,Tumbuka
tvl,Tuvalu
tw,Tvi
ty,Tahićanski
tyv,Tuvinijski
udm,Udmurt
ug,Ujgurski
uga,Ugaritski
uk,Ukrajinski
umb,Umbundu
und,Nepoznat ili nevažeći jezik
ur,Urdu
uz,Uzbečki
vai,Vai
ve,Venda
vi,Vijetnamski
vo,Volapuk
vot,Votski
wa,Valun
wal,Valamo
war,Varaj
was,Vašo
wo,Volof
xal,Kalmik
xh,Kshosa
yao,Jao
yap,Japeški
yi,Jidiš
yo,Joruba
yue,Kantonski
za,Žuang
zap,Zapotečki
zbl,Blisimboli
zen,Zenaga
zgh,standardni marokanski tamazigt
zh,Kineski
zh_Hans,Kineski (pojednostavljen)
zh_Hant,Kineski (tradicionalni)
zu,Zulu
zun,Zuni
zxx,Bez lingvističkog sadržaja
zza,Zaza
