ossetíska (os)
ósage (osa)
tyrkneska, ottóman (ota)
púnjabí (pa)
pangasínmál (pag)
palaví (pal)
pampanga (pam)
papíamentó (pap)
paláska (pau)
fornpersneska (peo)
fönikíska (phn)
palí (pi)
pólska (pl)
ponpeiska (pon)
fornpróvensalska (pro)
pastú (ps)
portúgalska (pt)
brasílísk portúgalska (pt_BR)
evrópsk portúgalska (pt_PT)
kvesjúa (qu)
kiche (quc)
rajastaní (raj)
rapanúí (rap)
rarótongska (rar)
rómanska (rm)
rúndí (rn)
rúmenska (ro)
moldóvska (ro_MD)
rombó (rof)
romaní (rom)
rót (root)
rússneska (ru)
arúmenska (rup)
kínjarvanda (rw)
rúa (rwk)
sanskrít (sa)
sandave (sad)
jakút (sah)
samversk arameíska (sam)
sambúrú (saq)
sasak (sas)
santalí (sat)
sangú (sbp)
sardínska (sc)
sikileyska (scn)
skoska (sco)
sindí (sd)
norðursamíska (se)
sena (seh)
selkúp (sel)
koíraboró-senní (ses)
sangó (sg)
fornírska (sga)
serbókróatíska (sh)
tachelhit (shi)
sjan (shn)
singalíska (si)
sídamó (sid)
slóvakíska (sk)
slóvenska (sl)
samóska (sm)
suðursamíska (sma)
lúlesamíska (smj)
enaresamíska (smn)
skoltesamíska (sms)
shona (sn)
sóninke (snk)
sómalska (so)
sogdíen (sog)
albanska (sq)
serbneska (sr)
sranan tongo (srn)
serer (srr)
svatí (ss)
saho (ssy)
suðursótó (st)
súndanska (su)
súkúma (suk)
súsú (sus)
súmerska (sux)
sænska (sv)
svahílí (sw)
shimaoríska (swb)
Kongó-svahílí (swc)
klassísk sýrlenska (syc)
sýrlenska (syr)
tamílska (ta)
telúgú (te)
tímne (tem)
tesó (teo)
terenó (ter)
tetúm (tet)
tadsjikska (tg)
taílenska (th)
tígrinja (ti)
tígre (tig)
tív (tiv)
túrkmenska (tk)
tókeláska (tkl)
tagalog (tl)
klingonska (tlh)
tlingit (tli)
tamasjek (tmh)
tsúana (tn)
tongverska (to)
tongverska (nyasa) (tog)
tokpisin (tpi)
tyrkneska (tr)
tsonga (ts)
tsimsíska (tsi)
tatarska (tt)
túmbúka (tum)
túvalúska (tvl)
tví (tw)
tasawaq (twq)
tahítíska (ty)
túvínska (tyv)
tamazight (tzm)
údmúrt (udm)
úígúr (ug)
úgarítíska (uga)
úkraínska (uk)
úmbúndú (umb)
óþekkt tungumál (und)
úrdú (ur)
úsbekska (uz)
vaí (vai)
venda (ve)
víetnamska (vi)
volapyk (vo)
votíska (vot)
vunjó (vun)
vallónska (wa)
valamó (wal)
varaí (war)
vasjó (was)
volof (wo)
kalmúkska (xal)
sósa (xh)
sóga (xog)
jaó (yao)
japíska (yap)
jiddíska (yi)
jórúba (yo)
kantoneska (yue)
súang (za)
sapótek (zap)
blisstákn (zbl)
senaga (zen)
staðlað marokkóskt tamazight (zgh)
kínverska (zh)
kínverska (einfölduð) (zh_Hans)
kínverska (hefðbundin) (zh_Hant)
súlú (zu)
súní (zun)
ekkert tungumálaefni (zxx)
zázáíska (zza)
