europeisk portugisisk (pt_PT)
quechua (qu)
rajasthani (raj)
rapanui (rap)
rarotongansk (rar)
retoromansk (rm)
rundi (rn)
rumensk (ro)
moldavisk (ro_MD)
rombo (rof)
romani (rom)
rot (root)
russisk (ru)
aromansk (rup)
kinjarwanda (rw)
rwa (rwk)
sanskrit (sa)
sandawe (sad)
jakutsk (sah)
samaritansk arameisk (sam)
sasak (sas)
santali (sat)
sangu (sbp)
sardinsk (sc)
siciliansk (scn)
skotsk (sco)
sindhi (sd)
nordsamisk (se)
selkupisk (sel)
sango (sg)
gammalirsk (sga)
serbokroatisk (sh)
shan (shn)
singalesisk (si)
sidamo (sid)
slovakisk (sk)
slovensk (sl)
samoansk (sm)
sørsamisk (sma)
lulesamisk (smj)
enaresamisk (smn)
skoltesamisk (sms)
shona (sn)
soninke (snk)
somali (so)
sogdisk (sog)
albansk (sq)
serbisk (sr)
sranan tongo (srn)
serer (srr)
swati (ss)
sørsotho (st)
sundanesisk (su)
sukuma (suk)
susu (sus)
sumerisk (sux)
svensk (sv)
swahili (sw)
shimaore (swb)
klassisk syrisk (syc)
syrisk (syr)
tamil (ta)
telugu (te)
temne (tem)
tereno (ter)
tetum (tet)
tatsjikisk (tg)
thai (th)
tigrinja (ti)
tigré (tig)
tivi (tiv)
turkmensk (tk)
tokelau (tkl)
tagalog (tl)
klingon (tlh)
tlingit (tli)
tamasjek (tmh)
tswana (tn)
tonga (Tonga-øyane) (to)
tonga (Nyasa) (tog)
tok pisin (tpi)
tyrkisk (tr)
tsonga (ts)
tsimshian (tsi)
tatarisk (tt)
tumbuka (tum)
tuvalu (tvl)
twi (tw)
tasawaq (twq)
tahitisk (ty)
tuvinisk (tyv)
udmurt (udm)
uigurisk (ug)
ugaritisk (uga)
ukrainsk (uk)
umbundu (umb)
ukjent språk (und)
urdu (ur)
usbekisk (uz)
vai (vai)
venda (ve)
vietnamesisk (vi)
volapyk (vo)
votisk (vot)
vallonsk (wa)
walamo (wal)
waray (war)
washo (was)
wolof (wo)
kalmyk (xal)
xhosa (xh)
yao (yao)
yapesisk (yap)
yangben (yav)
jiddisk (yi)
joruba (yo)
kantonesisk (yue)
zhuang (za)
zapotec (zap)
blissymbol (zbl)
zenaga (zen)
kinesisk (zh)
forenkla kinesisk (zh_Hans)
tradisjonell kinesisk (zh_Hant)
zulu (zu)
zuni (zun)
utan språkleg innhald (zxx)
zaza (zza)
