arn,阿勞坎文
ba,巴什基爾文
br,布里多尼文
de_AT,奧地利德文
de_CH,瑞士德語
en_AU,澳洲英文
en_CA,加拿大英文
en_GB,英國英文
en_US,美國英文
eo,世界語
es_419,拉丁美洲西班牙文
es_ES,歐洲西班牙文
es_MX,墨西哥西班牙文
gl,加里西亞文
hr,克羅地亞文
it,意大利文
kn,坎納達文
lol,蒙古語
mg,馬拉加斯文
nqo,西非書面語言 (N’ko)
or,奧里雅文
pt_BR,巴西葡萄牙語
pt_PT,歐洲葡萄牙文
ro_MD,摩爾多瓦羅馬尼亞文
sd,信德語
sl,斯洛文尼亞文
sn,修納文
swc,剛果史瓦希里文
ur,烏爾都文
zgh,摩洛哥標準塔馬齊格特文
