ar,Alâbɛ
de,Njáman
el,Ŋɡɛlɛ̂k
en,Aŋɡɛlúshi
fr,Fɛlánci
jgo,Ndaꞌa
und,cú-pʉɔ yi pɛ́ kɑ́ kɛ́ jí
zh,Shinwâ
