якутски (sah)
самаритански арамейски (sam)
самбуру (saq)
сасак (sas)
сантали (sat)
сангу (sbp)
сардински (sc)
сицилиански (scn)
шотландски (sco)
синдхи (sd)
южнокюрдски (sdh)
северносаамски (se)
сена (seh)
селкуп (sel)
койраборо сени (ses)
санго (sg)
староирландски (sga)
сърбохърватски (sh)
ташелхит (shi)
шан (shn)
синхалски (si)
сидамо (sid)
словашки (sk)
словенски (sl)
самоански (sm)
южносаамски (sma)
луле-саамски (smj)
инари-саамски (smn)
сколт-саамски (sms)
шона (sn)
сонинке (snk)
сомалийски (so)
согдийски (sog)
албански (sq)
сръбски (sr)
сранан тонго (srn)
серер (srr)
суази (ss)
сесуто (st)
сундански (su)
сукума (suk)
сусу (sus)
шумерски (sux)
шведски (sv)
суахили (sw)
коморски (swb)
конгоански суахили (swc)
класически сирийски (syc)
сирийски (syr)
тамилски (ta)
телугу (te)
темне (tem)
тесо (teo)
терено (ter)
тетум (tet)
таджикски (tg)
тайски (th)
тигриня (ti)
тигре (tig)
тив (tiv)
туркменски (tk)
токелайски (tkl)
тагалог (tl)
клингон (tlh)
тлингит (tli)
тамашек (tmh)
тсвана (tn)
тонга (to)
нианса тонга (tog)
ток писин (tpi)
турски (tr)
тсонга (ts)
цимшиански (tsi)
татарски (tt)
тумбука (tum)
тувалуански (tvl)
туи (tw)
тасавак (twq)
таитянски (ty)
тувински (tyv)
централноатласки тамазигт (tzm)
удмуртски (udm)
уйгурски (ug)
угаритски (uga)
украински (uk)
умбунду (umb)
неопределен (und)
урду (ur)
узбекски (uz)
ваи (vai)
венда (ve)
виетнамски (vi)
волапюк (vo)
вотик (vot)
вунджо (vun)
валонски (wa)
валамо (wal)
варай (war)
уашо (was)
валпири (wbp)
волоф (wo)
калмик (xal)
ксоса (xh)
сога (xog)
яо (yao)
япезе (yap)
идиш (yi)
йоруба (yo)
кантонски (yue)
зуанг (za)
запотек (zap)
блис символи (zbl)
зенага (zen)
стандартен марокански тамазигт (zgh)
китайски (zh)
зулуски (zu)
зуни (zun)
без лингвистично съдържание (zxx)
заза (zza)
