ar,arapça
az,azerbaýjança
de,nemisçe
en,iňlisçe
es,ispança
fa,parsça
fr,fransuzça
hy,ermençe
it,italýança
ja,ýaponça
ka,gruzinçe
kk,gazakça
ky,gyrgyzça
nl,golland dilini
ps,paştoça
ru,orusça
tg,täjikçe
tk,türkmençe
tr,türkçe
uk,ukrainça
uz,özbekçe
zh,hytaýça
