ꕉꕪꘋ (ak)
ꕉꕆꕌꔸ (am)
ꕞꕌꖝ (ar)
ꔆꕞꖩꔻ (be)
ꗂꔠꗸꘋ (bg)
ꗩꕭꔷ (bn)
ꗿꗡ (cs)
ꕧꕮꔧ (de)
ꗥꗷꘋ (el)
ꕶꕱ (en)
ꕐꘊꔧ (es)
ꗨꗡꔻꘂꘋ (fa)
ꗱꘋꔻ (fr)
ꕌꖙꕢ (ha)
ꔦꔺ (hi)
ꖽꔟꗸꘋ (hu)
ꔤꖆꕇꔻꘂꘋ (id)
ꔤꕼ (ig)
ꔤꕚꔷꘂꘋ (it)
ꕧꕐꕇꔧ (ja)
ꕧꕙꕇꔧ (jv)
ꕃꘈꗢ (km)
ꖏꔸꘂꘋ (ko)
ꕮꔒꔀ (ms)
ꗩꕆꔻ (my)
ꕇꕐꔷ (ne)
ꗍꔿ (nl)
ꖛꕨꔬ (pa)
ꗁꔒꔻ (pl)
ꕶꕿꕃꔤ (pt)
ꖄꕆꕇꘂꘋ (ro)
ꗐꖺꔻꘂꘋ (ru)
ꕟꖙꕡ (rw)
ꖇꕮꔷ (so)
ꖬꔨꗵꘋ (sv)
ꕚꕆꔷ (ta)
ꕚꔤ (th)
ꗋꕃ (tr)
ꖳꖴꔓꕇꘂꘋ (uk)
ꖺꖦ (ur)
ꕙꔤ (vai)
ꔲꕩꕯꕆꔧ (vi)
ꖎꖄꕑ (yo)
ꕦꕇꔧ (zh)
ꖮꖨ (zu)
