ace,achenés
ady,adigeo
arp,arapajó
eu,vasco
goh,alemán de la alta edad antigua
grc,griego clásico
gu,gujarati
hsb,sorbio alto
ht,haitiano
kea,Criollo (Cabo Verde)
lo,laosiano
luo,luo
prg,prusiano antiguo
rm,retorrománico
shu,árabe (Chad)
sw,swahili
sw_CD,swahili (Congo)
tzm,tamazight del Marruecos Central
vai,vai
wal,walamo
wuu,wu
yi,yídish
zun,zuni
